theta1,theta2
1.4861,1.6028
1.4876,1.5993
1.4891,1.5958
1.4906,1.5923
1.4922,1.5888
1.4937,1.5853
1.4953,1.5818
1.4968,1.5782
1.4984,1.5747
1.4999,1.5712
1.5015,1.5676
1.5031,1.564
1.5046,1.5605
1.5062,1.5569
1.5078,1.5533
1.5094,1.5498
1.511,1.5462
1.5126,1.5426
1.5142,1.539
1.5158,1.5354
1.5174,1.5317
1.519,1.5281
1.5206,1.5245
1.5206,1.5245
1.5195,1.5235
1.5183,1.5225
1.5172,1.5215
1.5161,1.5205
1.5149,1.5195
1.5138,1.5185
1.5127,1.5175
1.5116,1.5165
1.5104,1.5154
1.5093,1.5144
1.5082,1.5134
1.5071,1.5123
1.506,1.5112
1.505,1.5102
1.5039,1.5091
1.5028,1.508
1.5017,1.5069
1.5007,1.5059
1.4996,1.5048
1.4986,1.5036
1.4975,1.5025
1.4965,1.5014
1.4955,1.5003
1.4944,1.4992
1.4934,1.498
1.4924,1.4969
1.4914,1.4957
1.4904,1.4946
1.4894,1.4934
1.4884,1.4922
1.4874,1.491
1.4864,1.4898
1.4854,1.4887
1.4844,1.4875
1.4835,1.4862
1.4825,1.485
1.4815,1.4838
1.4806,1.4826
1.4796,1.4813
1.4787,1.4801
1.4778,1.4789
1.4768,1.4776
1.4759,1.4763
1.475,1.4751
1.4741,1.4738
1.4732,1.4725
1.4723,1.4712
1.4714,1.4699
1.4705,1.4686
1.4696,1.4673
1.4687,1.466
1.4679,1.4647
1.467,1.4633
1.4661,1.462
1.4653,1.4606
1.4644,1.4593
1.4636,1.4579
1.4628,1.4566
1.4619,1.4552
1.4611,1.4538
1.4603,1.4524
1.4595,1.451
1.4587,1.4496
1.4579,1.4482
1.4571,1.4468
1.4563,1.4454
1.4555,1.444
1.4547,1.4425
1.4539,1.4411
1.4532,1.4396
1.4524,1.4382
1.4517,1.4367
1.4509,1.4352
1.4502,1.4338
1.4494,1.4323
1.4487,1.4308
1.448,1.4293
1.4473,1.4278
1.4465,1.4263
1.4458,1.4247
1.4451,1.4232
1.4444,1.4217
1.4437,1.4201
1.4431,1.4186
1.4424,1.417
1.4417,1.4155
1.441,1.4139
1.4404,1.4123
1.4397,1.4107
1.4391,1.4092
1.4384,1.4076
1.4378,1.4059
1.4372,1.4043
1.4365,1.4027
1.4359,1.4011
1.4353,1.3995
1.4347,1.3978
1.4341,1.3962
1.4335,1.3945
1.4329,1.3928
1.4323,1.3912
1.4318,1.3895
1.4312,1.3878
1.4306,1.3861
1.4301,1.3844
1.4295,1.3827
1.429,1.381
1.4284,1.3793
1.4279,1.3775
1.4274,1.3758
1.4269,1.3741
1.4263,1.3723
1.4258,1.3705
1.4253,1.3688
1.4248,1.367
1.4243,1.3652
1.4239,1.3634
1.4234,1.3616
1.4229,1.3598
1.4224,1.358
1.422,1.3562
1.4215,1.3544
1.4211,1.3525
1.4206,1.3507
1.4202,1.3488
1.4198,1.347
1.4194,1.3451
1.4189,1.3432
1.4185,1.3414
1.4181,1.3395
1.4177,1.3376
1.4174,1.3357
1.417,1.3338
1.4166,1.3318
1.4162,1.3299
1.4159,1.328
1.4155,1.326
1.4151,1.3241
1.4148,1.3221
1.4145,1.3202
1.4141,1.3182
1.4138,1.3162
1.4135,1.3142
1.4132,1.3122
1.4129,1.3102
1.4126,1.3082
1.4123,1.3062
1.412,1.3042
1.4117,1.3021
1.4114,1.3001
1.4112,1.298
1.4109,1.296
1.4107,1.2939
1.4104,1.2918
1.4102,1.2897
1.4099,1.2876
1.4097,1.2855
1.4095,1.2834
1.4093,1.2813
1.4091,1.2792
1.4089,1.277
1.4087,1.2749
1.4085,1.2727
1.4083,1.2706
1.4081,1.2684
1.408,1.2662
1.4078,1.264
1.4076,1.2618
1.4075,1.2596
1.4073,1.2574
1.4072,1.2552
1.4071,1.253
1.407,1.2507
1.4069,1.2485
1.4067,1.2462
1.4066,1.244
1.4066,1.2417
1.4065,1.2394
1.4064,1.2371
1.4063,1.2348
1.4063,1.2325
1.4062,1.2302
1.4061,1.2279
