t,theta_1,theta_2,omega_1,omega_2,f_torque1,f_torque2,c_torque1,c_torque2,e_theta1,e_theta2
3.686284065246582,1.3053853372719626,1.4522751291527054,0.06303407,0.04235565,1.9094532,-0.6398487,0,0,1.694734615354517,1.8801162792369923
3.7052340507507324,1.3063543299820761,1.4524210413231156,0.08259781,-0.018842176,1.917537,-0.6388259,0,0,1.694734615354517,1.8785822984491065
3.7302064895629883,1.3100441257145743,1.4549797495140335,0.09737681,0.07544849,1.9600644,-0.5178237,0,0,1.694734615354517,1.87398035608545
3.7481906414031982,1.3119323114540915,1.456133695436885,0.099976905,0.06262215,1.9169456,-0.46321154,0,0,1.694734615354517,1.8724463752975642
3.7687251567840576,1.3140180269863944,1.457086416078975,0.07710647,0.07105771,1.9122903,-0.42744398,0,0,1.694734615354517,1.8709123945096784
3.7901759147644043,1.3165161768582205,1.4586022814049027,0.12800321,0.06776634,1.8799412,-0.37918568,0,0,1.694734615354517,1.8678444329339068
3.8151776790618896,1.3187902132656912,1.4601119478477738,0.07729676,0.07483583,1.850666,-0.3628826,0,0,1.694734615354517,1.864776471358136
3.837153911590576,1.3221581588175635,1.4623411615623734,0.083760016,0.068116084,1.7673385,-0.3130436,0,0,1.694734615354517,1.8617085097823645
3.8541572093963623,1.3232326815512518,1.4631985147728226,0.116456315,0.09229129,1.7400985,-0.32234192,0,0,1.694734615354517,1.8586405482065929
3.8751838207244873,1.3251101682570319,1.4651449640526077,0.091743,0.11278171,1.7499452,-0.26621103,0,0,1.694734615354517,1.857106567418708
3.8932034969329834,1.3267524550345282,1.4670246561302445,0.09119584,0.083484285,1.7685996,-0.23893595,0,0,1.694734615354517,1.8555725866308221
3.9132027626037598,1.3281316618111472,1.468751283480098,0.08206337,0.08577374,1.7910979,-0.19284725,0,0,1.694734615354517,1.8525046250550505
3.9322092533111572,1.329664976396833,1.4702719171776077,0.091357455,0.0795303,1.760376,-0.13008356,0,0,1.694734615354517,1.8509706442671647
3.9521918296813965,1.331330538788114,1.4714220484031937,0.08921233,0.032308154,1.7351741,-0.050737858,0,0,1.694734615354517,1.849436663479279
3.9701602458953857,1.332672701278005,1.4727600534691117,0.049361892,0.07505055,1.7347224,0.006942749,0,0,1.694734615354517,1.8463687019035082
3.989197015762329,1.334097341695104,1.4739707430137894,0.07286606,0.10451411,1.735947,0.09090662,0,0,1.694734615354517,1.8448347211156224
4.008146047592163,1.3353877226498465,1.4758060892357132,0.059421495,0.10182393,1.7496687,0.0949049,0,0,1.694734615354517,1.8433007403277366
4.029135227203369,1.336819172897611,1.4781454523338577,0.03689206,0.11200748,1.751008,0.13216019,0,0,1.694734615354517,1.8417667595398508
4.070157766342163,1.33944828907517,1.4820259531273148,0.097756,0.11498083,1.6736156,0.18450975,0,0,1.694734615354517,1.83869879796408
4.0881078243255615,1.340798066058431,1.484726281954219,0.081584774,0.102791175,1.6725808,0.23453474,0,0,1.694734615354517,1.8371648171761943
4.11210823059082,1.341821507611547,1.4875372370018265,0.051882036,0.14159149,1.6757685,0.27616024,0,0,1.694734615354517,1.8356308363883085
4.1350884437561035,1.3427659879114966,1.4901741464866898,0.035347186,0.118542016,1.6794735,0.29280424,0,0,1.694734615354517,1.8340968556004227
4.1630871295928955,1.3444462726500372,1.4940212686790726,0.056224644,0.12992807,1.6869848,0.33216715,0,0,1.694734615354517,1.8340968556004227
4.195043087005615,1.3458752642062048,1.4968574960960648,0.03363609,0.14431305,1.6632285,0.3619218,0,0,1.694734615354517,1.831028894024652
4.217019557952881,1.3468114594605307,1.4992111643089554,0.05185897,0.15303247,1.6376731,0.39923906,0,0,1.694734615354517,1.831028894024652
4.236036539077759,1.3474747399475913,1.5027388056053421,0.092382655,0.1634088,1.6557883,0.4511237,0,0,1.6932006345666313,1.8294949132367662
4.256018400192261,1.347921178736959,1.5074675997032425,0.015618918,0.22031985,1.6679465,0.43999672,0,0,1.6901326729908597,1.8294949132367662
4.275993824005127,1.3484594533827643,1.5121038873924515,0.008549906,0.28234118,1.6867334,0.42096615,0,0,1.6855307306272032,1.8279609324488804
4.295983076095581,1.3490774194386344,1.5160869081749222,0.048603207,0.20659588,1.6587256,0.4333949,0,0,1.6809287882635457,1.8279609324488804
4.338454246520996,1.3504930744555335,1.52556118567126,0.017457489,0.20825528,1.6587318,0.41579008,0,0,1.670190922748346,1.8248929708731088
4.359962701797485,1.3515264401820044,1.5315478761925003,0.038422618,0.21899933,1.6470733,0.41600704,0,0,1.6655889803846895,1.8248929708731088
